Aasta;Test;Testi ID;Sugu;Kooli tüüp;Õppekeel;Soorituskeel;Maakond;Õppeasutus;Õppevorm;Sooritajaid;Max võimalik pallide arv;Keskmine;Keskmine (%);Mediaan;St hälve;Min punktide saajad;Max punktide saajad;Min;Max;AUP;ÜUP
2019;Matemaatika (riigieksam 2019) (Lai);4551;M;kutseõppeasutus;eesti;Eesti keel;Harju maakond;Tallinna Polütehnikum;statsionaarne õpe - koolipõhine õpe;23;100;9,1;9,1;6;9,5;3;0;0;40;5;13,3
2019;Matemaatika (riigieksam 2019) (Lai);4551;M;kutseõppeasutus;vene;Vene keel;Harju maakond;Tallinna Polütehnikum;statsionaarne õpe - koolipõhine õpe;19;100;15,7;15,7;11;13,6;0;0;6;63;9,1;22,3
2019;Matemaatika (riigieksam 2019) (Lai);4551;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Pirita Majandusgümnaasium;statsionaarne õpe;24;100;17,2;17,2;12,5;13,9;0;0;2;63;11,4;23,1
2019;Matemaatika (riigieksam 2019) (Lai);4551;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Kuristiku Gümnaasium;statsionaarne õpe;5;100;74;74;82;22,1;0;0;48;95;46,6;101,4
2019;Matemaatika (riigieksam 2019) (Lai);4551;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Arte Gümnaasium;statsionaarne õpe;12;100;30,6;30,6;23,5;21,6;0;0;2;78;16,9;44,3
2019;Matemaatika (riigieksam 2019) (Lai);4551;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Saksa Gümnaasium;statsionaarne õpe;7;100;27;27;31;17,1;0;0;6;54;11,2;42,8
2019;Matemaatika (riigieksam 2019) (Lai);4551;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Humanitaargümnaasium;statsionaarne õpe;6;100;57,7;57,7;62;17;0;0;31;73;39,8;75,5
2019;Matemaatika (riigieksam 2019) (Lai);4551;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna 32. Keskkool;statsionaarne õpe;28;100;37,6;37,6;34;22,9;0;0;1;85;28,7;46,5
2019;Matemaatika (riigieksam 2019) (Lai);4551;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Mustamäe Gümnaasium;statsionaarne õpe;12;100;45,8;45,8;45,5;16,6;0;0;20;73;35,3;56,4
2019;Matemaatika (riigieksam 2019) (Lai);4551;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Järveotsa Gümnaasium;statsionaarne õpe;8;100;47,2;47,2;44,5;15,8;0;0;30;67;34,1;60,4
