Aasta;Test;Testi ID;Sugu;Kooli tüüp;Õppekeel;Soorituskeel;Maakond;Õppeasutus;Õppevorm;Sooritajaid;Max võimalik pallide arv;Keskmine;Keskmine (%);Mediaan;St hälve;Min punktide saajad;Max punktide saajad;Min;Max;AUP;ÜUP
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Tartu maakond;Lähte Ühisgümnaasium;statsionaarne õpe;11;100;54,6;54,6;55;16,2;0;0;34;86;43,7;65,5
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Keila Kool;statsionaarne õpe;24;100;58,8;58,8;59,5;13,7;0;0;35;81;53;64,6
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Tartu maakond;Tartu Herbert Masingu Kool;statsionaarne õpe;6;100;46,8;46,8;46;11,4;0;0;36;68;34,9;58,8
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Valga maakond;Tõrva Gümnaasium;statsionaarne õpe;10;100;52,9;52,9;50,5;9,4;0;0;37;69;46,2;59,6
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Lääne-Viru maakond;Rakvere Eragümnaasium;statsionaarne õpe;9;100;61,4;61,4;60;11,4;0;0;49;78;52,6;70,2
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Võru maakond;Parksepa Keskkool;statsionaarne õpe;22;100;55,5;55,5;56;14,1;0;0;19;80;49,3;61,8
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Gustav Adolfi Gümnaasium;statsionaarne õpe;55;100;72,7;72,7;75;14,8;0;0;33;99;68,7;76,7
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Prantsuse Lütseum;statsionaarne õpe;20;100;80,2;80,2;82,5;11,2;0;1;56;100;75;85,5
2020;Eesti keel (riigieksam 2020);5977;M;Määramata;Määramata;Eesti keel;Määramata;Määramata;Määramata;78;100;47;47;45,5;17,2;0;0;10;90;43,1;50,9
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Järva maakond;Paide Gümnaasium;statsionaarne õpe;20;100;57,6;57,6;57;14,6;0;0;28;83;50,8;64,4
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Lääne-Viru maakond;Rakvere Reaalgümnaasium;statsionaarne õpe;33;100;65,1;65,1;67;12,8;0;0;39;85;60,6;69,6
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Järveotsa Gümnaasium;statsionaarne õpe;19;100;60,9;60,9;58;17,2;0;0;33;92;52,6;69,2
2020;Eesti keel (riigieksam 2020);5977;M;kutseõppeasutus;eesti;Eesti keel;Harju maakond;Tallinna Polütehnikum;statsionaarne õpe - koolipõhine õpe;18;100;31,4;31,4;29,5;14,4;0;0;9;62;24,2;38,5
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Jõgeva maakond;Jõgevamaa Gümnaasium;statsionaarne õpe;33;100;68,9;68,9;71;13,5;0;0;32;92;64,1;73,7
