Aasta;Test;Testi ID;Sugu;Kooli tüüp;Õppekeel;Soorituskeel;Maakond;Õppeasutus;Õppevorm;Sooritajaid;Max võimalik pallide arv;Keskmine;Keskmine (%);Mediaan;St hälve;Min punktide saajad;Max punktide saajad;Min;Max;AUP;ÜUP
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;kutseõppeasutus;eesti;Eesti keel;Harju maakond;Tallinna Polütehnikum;statsionaarne õpe - koolipõhine õpe;15;100;19,1;19,1;14;23,1;1;0;0;92;6,3;31,9
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;kutseõppeasutus;eesti;Eesti keel;Tartu maakond;Tartu Kutsehariduskeskus;statsionaarne õpe - koolipõhine õpe;8;100;17,9;17,9;5;21;1;0;0;46;0,3;35,4
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;kutseõppeasutus;vene;Vene keel;Harju maakond;Tallinna Polütehnikum;statsionaarne õpe - koolipõhine õpe;9;100;23;23;22;19,7;0;0;3;52;7,9;38,1
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Pirita Majandusgümnaasium;statsionaarne õpe;15;100;31,7;31,7;30;19,9;0;0;2;62;20,7;42,7
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Kuristiku Gümnaasium;statsionaarne õpe;11;100;51;51;50;29;0;0;6;98;31,5;70,5
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Arte Gümnaasium;statsionaarne õpe;11;100;35,6;35,6;29;24,3;0;0;2;88;19,3;52
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Saksa Gümnaasium;statsionaarne õpe;15;100;30,1;30,1;25;19,2;0;0;1;66;19,5;40,7
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna 32. Keskkool;statsionaarne õpe;34;100;37;37;37;23;0;0;2;83;29;45,1
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Mustamäe Gümnaasium;statsionaarne õpe;9;100;24,3;24,3;16;20;0;0;6;73;9;39,7
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Järveotsa Gümnaasium;statsionaarne õpe;11;100;63,6;63,6;58;21,4;0;0;34;94;49,3;78
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Kadrioru Saksa Gümnaasium;statsionaarne õpe;25;100;52,6;52,6;54;21,7;0;0;10;88;43,6;61,5
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Lilleküla Gümnaasium;statsionaarne õpe;20;100;40;40;31;27,3;0;0;6;90;27,2;52,7
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Nõmme Gümnaasium;statsionaarne õpe;37;100;45,2;45,2;44;23,2;0;0;13;92;37,5;52,9
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Õismäe Gümnaasium;statsionaarne õpe;13;100;47,8;47,8;44;26,6;0;0;6;86;31,7;63,9
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Reaalkool;statsionaarne õpe;56;100;86,8;86,8;91,5;12,1;0;2;47;100;83,6;90
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Ühisgümnaasium;statsionaarne õpe;29;100;38,2;38,2;35;24,2;0;0;2;91;29;47,4
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Vanalinna Täiskasvanute Gümnaasium;mittestatsionaarne õpe;8;100;17,5;17,5;12,5;13,2;0;0;4;43;6,5;28,5
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Prantsuse Lütseum;statsionaarne õpe;15;100;66,5;66,5;69;21,9;0;0;35;92;54,3;78,6
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Saku Gümnaasium;statsionaarne õpe;19;100;42,7;42,7;40;30,8;0;0;4;88;27,8;57,5
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Saue Gümnaasium;statsionaarne õpe;13;100;57,9;57,9;53;24,2;0;0;29;92;43,3;72,5
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tabasalu Ühisgümnaasium;statsionaarne õpe;13;100;54,3;54,3;54;20,9;0;0;20;88;41,7;66,9
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Gustav Adolfi Gümnaasium;statsionaarne õpe;52;100;73,4;73,4;80,5;19,4;0;0;18;98;68,1;78,8
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Jakob Westholmi Gümnaasium;statsionaarne õpe;18;100;45,7;45,7;39,5;26,6;0;1;14;100;32,4;58,9
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Jüri Gümnaasium;statsionaarne õpe;9;100;44,4;44,4;35;27,5;0;0;8;84;23,3;65,6
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Kiili Gümnaasium;statsionaarne õpe;10;100;42,2;42,2;42,5;23,3;0;0;14;87;25,5;58,9
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Kose Gümnaasium;statsionaarne õpe;5;100;38,6;38,6;34;25,9;0;0;19;82;6,5;70,7
2020;Matemaatika (riigieksam 2020) (Lai);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Kuusalu Keskkool;statsionaarne õpe;7;100;59,1;59,1;57;14,2;0;0;40;78;46;72,3
