Aasta;Test;Testi ID;Sugu;Kooli tüüp;Õppekeel;Soorituskeel;Maakond;Õppeasutus;Õppevorm;Sooritajaid;Max võimalik pallide arv;Keskmine;Keskmine (%);Mediaan;St hälve;Min punktide saajad;Max punktide saajad;Min;Max;AUP;ÜUP
2018;Matemaatika (riigieksam 2018) (Kitsas);3567;M;kutseõppeasutus;eesti;Eesti keel;Harju maakond;Tallinna Ehituskool;statsionaarne õpe - koolipõhine õpe;7;100;7,9;7,9;6;8;0;0;1;24;0,5;15,2
2018;Matemaatika (riigieksam 2018) (Kitsas);3567;M;kutseõppeasutus;eesti;Eesti keel;Harju maakond;Tallinna Tööstushariduskeskus;statsionaarne õpe - koolipõhine õpe;9;100;18;18;12;16,8;0;0;5;57;5,1;30,9
2018;Matemaatika (riigieksam 2018) (Kitsas);3567;M;kutseõppeasutus;eesti;Eesti keel;Tartu maakond;Tartu Kutsehariduskeskus;statsionaarne õpe - koolipõhine õpe;19;100;11;11;10;5,7;0;0;4;26;8,3;13,7
2018;Matemaatika (riigieksam 2018) (Kitsas);3567;M;kutseõppeasutus;eesti;Eesti keel;Viljandi maakond;Olustvere Teenindus- ja Maamajanduskool;statsionaarne õpe - koolipõhine õpe;6;100;41;41;36,5;20;0;0;22;68;20;62
2018;Matemaatika (riigieksam 2018) (Kitsas);3567;M;kutseõppeasutus;eesti;Eesti keel;Viljandi maakond;Viljandi Kutseõppekeskus;statsionaarne õpe - koolipõhine õpe;5;100;12;12;13;4,7;0;0;5;17;6,2;17,8
2018;Matemaatika (riigieksam 2018) (Kitsas);3567;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Pirita Majandusgümnaasium;statsionaarne õpe;14;100;25,8;25,8;21,5;15,8;0;0;8;56;16,7;34,9
2018;Matemaatika (riigieksam 2018) (Kitsas);3567;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Kuristiku Gümnaasium;statsionaarne õpe;13;100;43,9;43,9;38;19,9;0;0;17;81;31,9;55,9
2018;Matemaatika (riigieksam 2018) (Kitsas);3567;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Arte Gümnaasium;statsionaarne õpe;8;100;20;20;15,5;15,4;0;0;8;55;7,2;32,8
2018;Matemaatika (riigieksam 2018) (Kitsas);3567;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna 32. Keskkool;statsionaarne õpe;11;100;33,2;33,2;36;18;0;0;10;68;21,1;45,3
2018;Matemaatika (riigieksam 2018) (Kitsas);3567;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Kadrioru Saksa Gümnaasium;statsionaarne õpe;8;100;59,6;59,6;61;12,3;0;0;45;73;49,4;69,9
